	Length	Potato_1_UY	Potato_2_UY	Potato_3_UY	Control_1_UY	Control_2_UY	Control_3_UY	Location
UW163_11125	714	9	168	47	6194	7176	7697	Chromosome
UW163_11130	1194	26	377	79	8241	10897	16019	Chromosome
UW163_11135	819	12	173	30	4808	5493	7072	Chromosome
UW163_11140	798	8	198	44	6296	6856	7669	Chromosome
UW163_11145	873	80	1145	397	19599	24699	52815	Chromosome
UW163_11150	1311	30	324	126	11669	12952	18325	Chromosome
UW163_11155	840	12	146	77	5746	5782	9232	Chromosome
UW163_11160	498	8	92	77	7354	7796	9758	Chromosome
UW163_11165	1536	65	996	333	24335	30048	51122	Chromosome
UW163_11170	822	9	178	41	6191	6993	5415	Chromosome
UW163_11175	966	4	166	57	8696	9609	10195	Chromosome
UW163_11180	201	12	121	223	3325	3791	5537	Chromosome
UW163_11185	492	43	229	99	3367	3939	4028	Chromosome
UW163_11190	297	4	15	2	822	1006	386	Chromosome
UW163_11195	351	7	97	45	2929	3632	2289	Chromosome
UW163_11200	798	7	120	31	4568	4210	5139	Chromosome
UW163_11205	414	35	351	73	6780	8594	11888	Chromosome
UW163_11210	279	16	172	120	7702	9912	10875	Chromosome
UW163_11215	414	29	166	68	4994	5901	8028	Chromosome
UW163_11220	732	46	394	151	10138	11442	17653	Chromosome
UW163_11225	666	26	85	39	3142	3598	3173	Chromosome
UW163_11230	2316	18	169	104	14245	13712	9378	Chromosome
UW163_11235	357	2	33	22	3007	2344	1779	Chromosome
UW163_11240	951	16	70	24	3850	3793	2994	Chromosome
UW163_11245	1296	73	1256	139	9732	13149	18688	Chromosome
UW163_11250	834	5	73	29	4371	3929	4830	Chromosome
UW163_11255	1524	95	844	389	32138	38515	65061	Chromosome
UW163_11260	540	87	324	35	4606	4576	9931	Chromosome
UW163_11265	927	7	36	17	3955	3374	1799	Chromosome
UW163_11270	1983	109	989	161	35691	41333	48642	Chromosome
UW163_11275	2067	11	93	25	13129	12732	6690	Chromosome
UW163_11285	528	2	21	5	2006	3069	634	Chromosome
UW163_11290	759	42	319	60	4586	7559	12678	Chromosome
UW163_11295	1566	21	40	12	6373	5987	1669	Chromosome
UW163_11300	1599	22	292	62	9916	11746	11051	Chromosome
UW163_11305	291	20	121	48	5580	7663	12934	Chromosome
UW163_11310	342	3	6	0	183	317	163	Chromosome
UW163_11315	435	27	270	59	4803	6223	9077	Chromosome
UW163_11320	324	7	19	9	1577	1869	1224	Chromosome
UW163_11330	2298	8	67	12	6854	4618	2745	Chromosome
UW163_11335	594	0	33	15	3447	2717	1155	Chromosome
UW163_11340	1911	4	15	10	4222	2275	1163	Chromosome
UW163_11345	1569	23	322	92	10619	11840	6665	Chromosome
UW163_11350	1002	4	44	13	3906	2514	810	Chromosome
UW163_11355	999	5	31	20	3689	2805	1135	Chromosome
UW163_11360	945	1	30	18	2759	2295	1022	Chromosome
UW163_11365	987	7	100	18	3942	3879	1444	Chromosome
UW163_11370	1521	10	74	51	5894	4075	1505	Chromosome
UW163_11375	975	4	105	61	3660	2886	1930	Chromosome
UW163_11380	1152	32	170	55	7223	7204	4750	Chromosome
UW163_11385	603	49	416	432	25855	35992	61165	Chromosome
UW163_11390	903	133	963	411	13645	17213	33306	Chromosome
UW163_11395	546	59	560	156	7902	9853	14836	Chromosome
UW163_11400	393	66	661	144	8565	10371	18771	Chromosome
UW163_11405	804	4	39	24	6285	5115	5577	Chromosome
UW163_11410	867	20	345	112	8711	11438	16276	Chromosome
UW163_11415	729	13	254	85	7428	9346	13723	Chromosome
UW163_11425	1047	4	10	3	4	1	6	Chromosome
UW163_11430	222	1	1	0	0	0	0	Chromosome
UW163_11435	306	1	1	2	2	1	4	Chromosome
UW163_11440	303	3	7	1	1	1	0	Chromosome
UW163_11445	537	2	6	1	2	3	1	Chromosome
UW163_11450	1968	25	19	4	3	8	10	Chromosome
UW163_11455	258	0	3	1	0	1	0	Chromosome
UW163_11460	180	201	6	1	0	1	4	Chromosome
UW163_11465	531	1	6	0	3	3	1	Chromosome
UW163_11470	204	0	3	0	0	0	0	Chromosome
UW163_11475	576	3	2	1	0	0	3	Chromosome
UW163_11480	552	3	1	1	1	0	2	Chromosome
UW163_11485	609	8	17	3	2	1	2	Chromosome
UW163_11490	516	3	0	3	1	2	2	Chromosome
UW163_11495	3132	8	38	5	10	11	9	Chromosome
UW163_11500	765	13	38	3	5	2	5	Chromosome
UW163_11505	324	0	0	0	0	0	1	Chromosome
UW163_11510	915	0	1	1	2	1	0	Chromosome
UW163_11515	561	3	6	0	2	2	1	Chromosome
UW163_11520	849	1	0	0	2	1	0	Chromosome
UW163_11525	366	0	0	0	0	1	1	Chromosome
UW163_11530	204	1	1	1	0	0	0	Chromosome
UW163_11535	396	0	3	4	3	0	2	Chromosome
UW163_11540	708	3	8	2	3	1	3	Chromosome
UW163_11545	597	2	2	1	0	0	0	Chromosome
UW163_11550	513	0	3	10	1	2	1	Chromosome
UW163_11555	915	0	0	0	1	1	2	Chromosome
UW163_11560	324	0	1	0	0	0	0	Chromosome
UW163_11565	1113	3	15	1	4	2	8	Chromosome
UW163_11570	339	1	1	0	1	3	1	Chromosome
UW163_11575	345	0	1	0	3	3	3	Chromosome
UW163_11580	366	3	14	3	720	664	703	Chromosome
UW163_11585	1083	2	52	11	6970	6435	3163	Chromosome
UW163_11590	372	1	16	8	2559	2041	977	Chromosome
UW163_11595	759	15	66	15	1598	1683	2000	Chromosome
UW163_11605	1176	16	298	59	7114	9200	7247	Chromosome
UW163_11610	609	3	89	25	2694	2932	2017	Chromosome
UW163_11615	873	23	198	44	5215	6816	6155	Chromosome
UW163_11620	348	26	394	142	9457	12183	19156	Chromosome
UW163_11625	387	44	289	66	5864	7519	10442	Chromosome
UW163_11630	435	7	34	21	3019	3102	2793	Chromosome
UW163_11635	939	24	24	8	5805	3907	4544	Chromosome
UW163_11640	1773	48	363	115	10460	12186	6979	Chromosome
UW163_11645	588	14	263	72	6298	7654	10143	Chromosome
UW163_11650	645	7	101	52	3924	4735	3265	Chromosome
UW163_11655	807	9	45	15	3066	2478	2710	Chromosome
UW163_11660	720	13	152	35	2667	3206	3141	Chromosome
UW163_11665	639	1	7	0	1	2	2	Chromosome
UW163_11670	1269	34	819	199	14169	17609	26098	Chromosome
UW163_11675	1197	593	677	292	20946	24556	41543	Chromosome
UW163_11680	2091	38	319	124	14290	17901	13505	Chromosome
UW163_11685	2091	5	47	7	11431	9221	3933	Chromosome
UW163_11690	948	3	34	5	2765	1719	1149	Chromosome
UW163_11695	1044	8	56	23	4968	4301	1815	Chromosome
UW163_11700	1050	5	25	16	4412	4298	1124	Chromosome
UW163_11705	1572	203	23	7	4736	3413	1743	Chromosome
UW163_11710	960	24	536	151	11985	14409	22209	Chromosome
UW163_11715	582	45	892	273	5020	5980	8643	Chromosome
UW163_11720	1218	298	3263	595	14049	18284	28519	Chromosome
UW163_11725	402	83	1122	290	7226	9082	14157	Chromosome
UW163_11730	321	59	686	153	4342	5820	9194	Chromosome
UW163_11735	201	6	57	68	2807	3077	4197	Chromosome
UW163_11740	531	9	126	38	3472	3694	2526	Chromosome
UW163_11745	1866	19	376	118	11719	11960	10516	Chromosome
UW163_11750	339	19	341	40	2213	3323	3709	Chromosome
UW163_11755	195	36	301	21	829	1188	2147	Chromosome
UW163_11760	759	6	71	44	3645	2609	1785	Chromosome
UW163_11765	1533	63	576	209	14367	18618	26846	Chromosome
UW163_11770	741	2	15	13	2126	1382	1968	Chromosome
UW163_11775	903	43	488	172	8487	10262	14300	Chromosome
UW163_11780	1170	32	218	44	6638	9099	8131	Chromosome
UW163_11785	732	2	18	15	1442	1380	2039	Chromosome
UW163_11790	1383	19	153	44	9167	9778	8195	Chromosome
UW163_11795	1005	1	50	30	7352	5903	4629	Chromosome
UW163_11800	1470	16	99	52	9622	9967	8709	Chromosome
UW163_11805	279	27	287	130	5745	7589	7297	Chromosome
UW163_11810	1287	3	48	31	4005	3412	2997	Chromosome
UW163_11815	615	3	46	24	4221	4357	2553	Chromosome
UW163_11820	1122	25	222	87	8007	9010	10359	Chromosome
UW163_11825	3042	651	2998	944	48667	54335	133940	Chromosome
UW163_11830	1053	42	574	111	9054	11532	17114	Chromosome
UW163_11835	660	25	80	30	3460	3881	4659	Chromosome
UW163_11840	417	3	53	24	2927	2559	2802	Chromosome
UW163_11845	1137	8	235	80	5976	7388	9561	Chromosome
UW163_11850	732	5	73	34	3677	3949	3160	Chromosome
UW163_11855	597	4	82	22	3194	3524	3271	Chromosome
UW163_11860	540	55	612	270	5338	8761	18667	Chromosome
UW163_11865	180	610	4364	772	16233	18901	69899	Chromosome
UW163_11870	1065	112	1704	416	18316	24116	57482	Chromosome
UW163_11875	981	47	796	226	14509	18458	42041	Chromosome
UW163_11880	930	46	721	217	14368	15392	38812	Chromosome
UW163_11885	750	77	1104	312	20798	27631	60338	Chromosome
UW163_11890	240	801	5550	955	56627	55627	171098	Chromosome
UW163_11895	1233	358	3074	642	32709	39957	94352	Chromosome
UW163_11900	600	800	3608	1168	22532	36557	69467	Chromosome
UW163_11905	633	267	1480	1115	28407	41749	72559	Chromosome
UW163_11910	1098	253	1672	822	30264	42755	79017	Chromosome
UW163_11915	1518	158	1105	656	47737	56188	113681	Chromosome
UW163_11920	276	19	86	45	2323	2630	4780	Chromosome
UW163_11925	1797	183	1301	335	15426	18062	39511	Chromosome
UW163_11930	894	210	910	256	11845	12822	26993	Chromosome
UW163_11935	369	120	717	158	8960	11488	24311	Chromosome
UW163_11940	771	99	698	116	8313	10204	18608	Chromosome
UW163_11945	948	79	864	248	17384	20941	44185	Chromosome
UW163_11950	819	9	94	36	4876	4895	5715	Chromosome
UW163_11955	792	16	70	62	8927	9564	13789	Chromosome
UW163_11960	444	9	68	26	2904	3045	3334	Chromosome
UW163_11965	1053	5	134	66	7693	7907	11347	Chromosome
UW163_11970	570	675	3827	1110	30968	38893	100158	Chromosome
UW163_11975	1206	4	95	37	6665	7035	4465	Chromosome
UW163_11980	2007	110	222	74	10177	11751	9750	Chromosome
UW163_11985	576	78	434	72	5555	7165	10985	Chromosome
UW163_12005	714	68	577	171	11215	14267	23632	Chromosome
UW163_12010	1707	13	187	100	14476	14107	22319	Chromosome
UW163_12015	2352	5	57	39	10339	7182	8404	Chromosome
UW163_12020	723	37	295	124	6721	8561	8217	Chromosome
UW163_12025	249	20	532	229	7973	8089	17506	Chromosome
UW163_12030	201	9	19	2	287	483	174	Chromosome
UW163_12035	768	9	50	34	4457	4057	1378	Chromosome
UW163_12040	1353	224	303	30	5321	4324	1098	Chromosome
UW163_12045	1299	3	265	18	4535	4658	1009	Chromosome
UW163_12050	2412	12	326	26	10967	8864	2380	Chromosome
UW163_12055	1185	3	609	22	4530	5622	1761	Chromosome
UW163_12060	978	5	54	7	3000	2605	870	Chromosome
UW163_12065	1095	7	74	3	4773	4208	1049	Chromosome
UW163_12070	642	4	84	5	1862	1672	1013	Chromosome
UW163_12075	699	3	77	11	5506	4892	1735	Chromosome
UW163_12080	1047	19	149	22	6298	6253	2642	Chromosome
UW163_12085	312	1	179	7	1755	2352	947	Chromosome
UW163_12090	474	3	279	22	1860	2776	1166	Chromosome
UW163_12095	1257	21	901	82	7953	9614	4668	Chromosome
UW163_12100	987	9	206	55	5325	5141	2811	Chromosome
UW163_12105	903	3	58	13	5113	5812	2543	Chromosome
UW163_12110	1383	0	67	19	7283	6714	2481	Chromosome
UW163_12115	900	7	33	15	5969	4428	1769	Chromosome
UW163_12120	933	1	19	15	5944	5267	1498	Chromosome
UW163_12125	342	6	144	40	2962	3094	4637	Chromosome
UW163_12130	339	1	32	7	962	1247	546	Chromosome
UW163_12135	207	17	155	21	355	617	1033	Chromosome
UW163_12140	1257	240	3229	352	14941	19239	37015	Chromosome
UW163_12145	912	36	640	74	6471	8358	12015	Chromosome
UW163_12150	1155	15	135	73	4702	6597	6897	Chromosome
UW163_12155	564	6	79	12	213	303	353	Chromosome
UW163_12165	921	4	33	18	4784	3853	2353	Chromosome
UW163_12170	1101	1	25	17	2767	2134	767	Chromosome
UW163_12175	495	2	4	5	1569	1282	492	Chromosome
UW163_12180	735	11	118	38	4124	5509	2160	Chromosome
UW163_12195	327	180	641	276	5211	6625	11573	Chromosome
UW163_12200	1698	55	68	29	8421	7292	5582	Chromosome
UW163_12205	1080	18	28	13	4264	2801	2910	Chromosome
UW163_12210	1251	69	452	167	15308	17669	31682	Chromosome
UW163_12215	744	23	95	50	5806	6787	12569	Chromosome
UW163_12220	816	5	58	35	5388	4890	8504	Chromosome
UW163_12225	2541	26	60	27	9034	6420	5267	Chromosome
UW163_12230	1482	22	169	84	11802	14931	13342	Chromosome
UW163_12235	963	37	345	71	4937	6162	6102	Chromosome
UW163_12240	837	8	99	53	4092	3831	4530	Chromosome
UW163_12245	915	26	253	58	4681	5377	5460	Chromosome
UW163_12250	822	8	64	25	4399	3150	2880	Chromosome
UW163_12255	1665	208	1682	691	33293	41353	90325	Chromosome
UW163_12260	855	72	594	234	12872	14385	31918	Chromosome
UW163_12265	291	21	148	86	6554	8092	11843	Chromosome
UW163_12270	1284	150	1804	590	30948	37203	75808	Chromosome
UW163_12275	336	23	177	35	2492	3174	4245	Chromosome
UW163_12280	390	5	31	15	2056	2281	2599	Chromosome
UW163_12285	1017	12	124	67	6942	6586	8390	Chromosome
UW163_12290	528	11	133	54	6211	7492	10634	Chromosome
UW163_12295	831	15	32	7	2852	1791	2140	Chromosome
UW163_12300	918	9	62	25	4857	4079	1792	Chromosome
UW163_12305	390	2	2	1	584	411	163	Chromosome
UW163_12310	543	37	7	1	1888	1228	535	Chromosome
UW163_12315	1128	3	31	3	3831	2653	1888	Chromosome
UW163_12320	1080	11	66	28	5766	5390	5985	Chromosome
UW163_12325	861	2	24	33	5220	3390	4855	Chromosome
UW163_12330	624	3	50	20	4912	3837	4448	Chromosome
UW163_12335	678	18	197	49	5528	4835	7351	Chromosome
UW163_12340	1203	35	396	152	15028	18729	33517	Chromosome
UW163_12345	567	94	30	66	4518	4815	5741	Chromosome
UW163_12350	885	119	1161	440	23574	30654	63800	Chromosome
UW163_12355	1197	96	1095	288	24202	30031	71290	Chromosome
UW163_12360	786	23	222	105	8115	9526	14100	Chromosome
UW163_12365	1230	32	313	97	9457	11360	15650	Chromosome
UW163_12370	525	292	1917	508	19221	22677	56477	Chromosome
UW163_12375	1065	2	114	51	6317	6828	6487	Chromosome
UW163_12380	2658	27	289	104	15549	14377	17195	Chromosome
UW163_12385	894	1	24	6	2570	1791	725	Chromosome
UW163_12390	1203	3	37	19	5433	4091	2138	Chromosome
UW163_12395	816	149	41	24	6933	6488	5051	Chromosome
UW163_12400	1875	3	54	20	5223	5239	2479	Chromosome
UW163_12405	1806	5	30	11	4843	3607	1925	Chromosome
UW163_12410	726	1	13	9	3523	2821	3026	Chromosome
UW163_12415	723	2	27	20	4571	2932	7573	Chromosome
UW163_12420	549	1	25	8	1642	1294	1602	Chromosome
UW163_12425	813	129	939	270	11196	13436	24944	Chromosome
UW163_12430	864	4	90	34	4079	3655	4399	Chromosome
UW163_12435	747	7	180	36	5216	5335	8275	Chromosome
UW163_12440	807	5	53	14	2794	2130	2569	Chromosome
UW163_12445	507	74	827	279	17137	21261	47083	Chromosome
UW163_12450	573	153	532	119	8201	9054	15864	Chromosome
UW163_12455	666	3	25	16	4200	3488	3558	Chromosome
UW163_12460	1398	42	397	140	10306	11970	19504	Chromosome
UW163_12465	903	16	165	47	6321	7049	10301	Chromosome
UW163_12470	969	152	1215	370	16817	22357	43274	Chromosome
UW163_12475	1428	14	28	10	2344	1386	1021	Chromosome
UW163_12480	1251	153	1463	505	27016	36821	65524	Chromosome
UW163_12490	780	78	665	146	13937	16435	33837	Chromosome
UW163_12495	1878	29	314	149	12683	16531	17785	Chromosome
UW163_12500	1056	37	281	55	5770	7384	7412	Chromosome
UW163_12505	1125	42	222	69	8063	10049	12415	Chromosome
UW163_12510	1656	26	275	123	12856	14805	19329	Chromosome
UW163_12515	669	241	1888	386	10051	14721	27032	Chromosome
UW163_12520	960	58	189	45	5970	5500	7574	Chromosome
UW163_12525	1398	76	588	186	12148	15800	23072	Chromosome
UW163_12560	1347	9	103	63	7837	8106	5729	Chromosome
UW163_12565	1797	26	134	80	12383	13025	12142	Chromosome
UW163_12570	264	711	4756	1347	29392	29141	106423	Chromosome
UW163_12575	849	10	102	32	4946	5800	4295	Chromosome
UW163_12580	669	34	586	183	5923	7581	8436	Chromosome
UW163_12585	1377	11	90	24	6734	7017	3452	Chromosome
UW163_12590	1263	207	1806	387	20452	24284	65636	Chromosome
UW163_12595	327	325	2265	376	13117	16365	50876	Chromosome
UW163_12600	2880	37	89	39	10859	8504	7663	Chromosome
UW163_12605	3543	25	89	45	12692	9632	11407	Chromosome
UW163_12610	2211	72	603	167	11691	14332	24570	Chromosome
UW163_12615	348	48	406	153	7417	8985	23615	Chromosome
UW163_12620	300	4	86	35	2298	2763	5752	Chromosome
UW163_12625	621	13	59	39	5376	5769	9381	Chromosome
UW163_12630	1395	26	124	38	6084	6480	3997	Chromosome
UW163_12635	915	11	60	37	7211	6444	10553	Chromosome
UW163_12640	1209	5	101	55	10301	10013	14660	Chromosome
UW163_12645	1014	55	372	234	22948	31222	55524	Chromosome
UW163_12650	813	17	139	44	8963	9006	15226	Chromosome
UW163_12655	792	13	99	28	5806	6781	8887	Chromosome
UW163_12660	630	3	70	26	5842	5986	4684	Chromosome
UW163_12665	975	7	175	27	6147	5845	2540	Chromosome
UW163_12670	756	30	248	115	7233	8905	12805	Chromosome
UW163_12675	927	12	47	30	5656	4724	7973	Chromosome
UW163_12680	828	128	820	268	18410	23850	38328	Chromosome
UW163_12685	1131	136	1516	412	22934	27253	47152	Chromosome
UW163_12690	870	24	225	52	5694	5674	6260	Chromosome
UW163_12695	1347	57	324	81	6873	7727	9459	Chromosome
UW163_12700	702	388	2922	740	43244	57742	116138	Chromosome
UW163_12705	426	477	3923	874	35465	42605	113282	Chromosome
UW163_12710	1152	240	2393	532	23946	31321	66984	Chromosome
UW163_12715	801	22	231	127	6324	8044	14075	Chromosome
UW163_12720	1104	19	294	105	7929	8910	15908	Chromosome
UW163_12725	1296	33	603	236	12052	15299	23356	Chromosome
UW163_12730	1323	76	878	233	14251	18390	26605	Chromosome
UW163_12735	636	26	453	171	8717	12073	20285	Chromosome
UW163_12740	1167	23	539	263	18340	23104	42219	Chromosome
UW163_12745	1344	55	527	139	9642	12152	16695	Chromosome
UW163_12750	240	535	2601	770	22369	27557	63810	Chromosome
UW163_12755	1254	86	563	193	16261	19274	43605	Chromosome
UW163_12760	1380	83	782	283	19803	25175	48118	Chromosome
UW163_12765	915	108	702	168	14011	19102	41823	Chromosome
UW163_12770	201	11	61	15	1749	2074	2755	Chromosome
UW163_12775	1161	16	164	58	6022	7011	8927	Chromosome
UW163_12780	1341	215	1688	622	19608	24870	47105	Chromosome
UW163_12785	582	35	618	195	11637	13619	23716	Chromosome
UW163_12795	2592	186	2150	619	31893	39586	64683	Chromosome
UW163_12800	750	15	224	144	11381	12652	25047	Chromosome
UW163_12805	744	3	107	45	4616	4179	9123	Chromosome
UW163_12810	960	29	223	164	9688	12332	16589	Chromosome
UW163_12815	687	11	153	138	10366	11656	17883	Chromosome
UW163_12820	1509	7	33	18	6362	7882	3476	Chromosome
UW163_12825	1539	10	39	10	6709	5202	1930	Chromosome
UW163_12830	276	37	444	88	3600	4145	9074	Chromosome
UW163_12835	1074	4	118	16	6583	4008	2746	Chromosome
UW163_12840	918	14	569	100	6531	7174	5985	Chromosome
UW163_12845	1290	19	67	32	3659	2112	1426	Chromosome
UW163_12850	1038	2	113	24	6241	4448	1850	Chromosome
UW163_12855	846	3	209	45	7525	5822	3316	Chromosome
UW163_12860	285	9	115	22	2748	1796	1440	Chromosome
UW163_12865	309	21	246	29	1638	1938	2624	Chromosome
UW163_12870	312	1	23	3	750	698	262	Chromosome
UW163_12875	1158	2	37	12	3910	2588	910	Chromosome
UW163_12880	1053	0	13	5	2397	1234	523	Chromosome
UW163_12885	918	13	801	50	6768	6561	3683	Chromosome
UW163_12890	1560	11	667	37	10486	9113	4889	Chromosome
UW163_12895	1023	8	386	31	8096	7114	3002	Chromosome
UW163_12900	2010	14	179	29	6711	4514	2373	Chromosome
UW163_12905	1863	7	137	28	5591	3666	1815	Chromosome
UW163_12910	960	4	133	26	5022	4380	2065	Chromosome
UW163_12915	795	8	90	29	5590	4705	1919	Chromosome
UW163_12920	825	1	41	8	5364	3007	1405	Chromosome
UW163_12925	1029	19	198	33	4713	3124	1851	Chromosome
UW163_12930	1398	23	266	57	9640	10057	10194	Chromosome
UW163_12935	3996	37	323	141	18124	19645	26173	Chromosome
UW163_12940	993	74	579	316	12493	17080	24722	Chromosome
UW163_12945	822	2	39	45	5174	4703	6332	Chromosome
UW163_12950	975	29	104	35	3521	3947	4014	Chromosome
UW163_12955	861	24	175	54	6050	6974	7430	Chromosome
UW163_12960	819	17	86	23	5425	5031	7816	Chromosome
UW163_12965	477	5	19	28	2614	1982	2322	Chromosome
UW163_12970	1416	406	3834	770	50603	71852	155138	Chromosome
UW163_12975	513	23	429	43	4923	6074	12030	Chromosome
UW163_12980	1203	27	190	70	6740	7495	6497	Chromosome
UW163_12985	1512	29	158	114	9496	11256	13558	Chromosome
UW163_12990	327	201	486	656	2983	4774	7344	Chromosome
UW163_12995	888	3	79	21	6038	5101	3468	Chromosome
UW163_13000	1317	356	263	60	10607	13392	10890	Chromosome
UW163_13005	882	1	32	6	3837	5481	1291	Chromosome
UW163_13010	849	10	25	16	3330	4486	1370	Chromosome
UW163_13015	1098	3	23	6	3116	2401	859	Chromosome
UW163_13020	759	0	5	7	1829	1357	525	Chromosome
UW163_13025	2862	958	5574	1986	63252	81514	125181	Chromosome
UW163_13030	1254	196	1357	512	21315	27100	44802	Chromosome
UW163_13035	1437	138	1320	592	19204	28021	45742	Chromosome
UW163_13040	1098	35	250	86	6517	7865	8124	Chromosome
UW163_13045	846	9	230	74	3708	3012	2842	Chromosome
UW163_13050	2541	28	141	327	10178	7907	8666	Chromosome
UW163_13055	174	6	15	44	1682	1558	1246	Chromosome
UW163_13060	1458	718	672	483	6948	10696	13351	Chromosome
UW163_13065	681	31	105	168	3460	4184	3083	Chromosome
UW163_13070	183	3	17	25	804	913	628	Chromosome
UW163_13075	945	64	172	182	6038	7155	6363	Chromosome
UW163_13080	1464	19	163	137	7210	8432	6051	Chromosome
UW163_13085	231	8	40	35	1246	1250	1322	Chromosome
UW163_13090	255	14	77	32	1299	1628	1678	Chromosome
UW163_13095	648	97	601	161	6144	8422	14517	Chromosome
UW163_13100	747	10	50	41	4181	4063	2453	Chromosome
UW163_13105	921	84	792	337	7454	9808	19185	Chromosome
UW163_13110	1788	321	1826	537	28273	33169	77008	Chromosome
UW163_13115	489	283	2005	447	13470	16911	33049	Chromosome
UW163_13120	1476	665	5660	1379	37819	51548	125772	Chromosome
UW163_13125	2907	588	6127	1629	60194	75707	180498	Chromosome
UW163_13130	372	3	132	39	2396	3046	4126	Chromosome
UW163_13135	951	6	100	28	3086	3066	3731	Chromosome
UW163_13140	444	110	262	94	2442	2249	1277	Chromosome
UW163_13145	1821	178	2033	700	23867	31323	67472	Chromosome
UW163_13150	894	4	31	4	3744	4626	1107	Chromosome
UW163_13155	1119	10	86	29	6955	6947	6917	Chromosome
UW163_13160	984	5	69	23	3770	3061	3484	Chromosome
UW163_13170	393	5	111	16	1741	2093	1871	Chromosome
UW163_13175	1734	31	140	33	6608	8128	5565	Chromosome
UW163_13185	186	0	44	17	1347	1551	1239	Chromosome
UW163_13190	651	18	268	93	5490	6122	5316	Chromosome
UW163_13195	777	483	1678	809	8311	11705	16515	Chromosome
UW163_13200	996	10	176	46	7274	6928	10680	Chromosome
UW163_13205	369	590	7178	941	27748	34593	94611	Chromosome
UW163_13210	327	126	2249	370	15187	19630	46777	Chromosome
UW163_13215	288	380	4318	452	17682	22166	53100	Chromosome
UW163_13220	453	249	4096	715	19526	25735	67588	Chromosome
UW163_13225	1392	73	666	227	9712	13101	18462	Chromosome
UW163_13230	627	161	1068	257	11573	16196	33969	Chromosome
UW163_13235	1011	50	544	152	13342	17568	31328	Chromosome
UW163_13240	735	5	87	53	4672	4426	3061	Chromosome
UW163_13245	426	12	29	34	1980	2620	2000	Chromosome
UW163_13250	1719	134	1456	412	20652	26784	31791	Chromosome
UW163_13255	465	44	251	98	3646	5155	6941	Chromosome
UW163_13260	894	21	351	122	8284	10764	16703	Chromosome
UW163_13265	1056	300	2607	431	23043	31904	68384	Chromosome
UW163_13270	936	13	187	99	9436	10975	15224	Chromosome
UW163_13275	999	51	393	65	8325	9752	14971	Chromosome
UW163_13280	1164	13	167	70	12048	12271	14254	Chromosome
UW163_13285	372	23	320	33	2303	3174	5958	Chromosome
UW163_13290	1671	15	92	52	10359	9880	8923	Chromosome
UW163_13295	381	0	20	12	2409	2031	1452	Chromosome
UW163_13300	1242	169	1539	379	17261	21319	35048	Chromosome
UW163_13305	1320	23	421	138	10022	11839	14559	Chromosome
UW163_13310	1521	40	462	153	7881	9868	14200	Chromosome
UW163_13315	621	1	11	10	2595	2189	1179	Chromosome
UW163_13320	1260	17	114	44	5644	6334	6142	Chromosome
UW163_13325	258	1	12	6	930	599	692	Chromosome
UW163_13330	516	0	63	32	3461	3806	3803	Chromosome
UW163_13335	381	3	48	15	2388	2679	2074	Chromosome
UW163_13340	2175	13	166	36	6996	6739	5551	Chromosome
UW163_13345	2589	154	793	270	20898	32390	34465	Chromosome
UW163_13350	1014	7	46	26	5711	6695	1481	Chromosome
UW163_13355	660	0	6	3	1562	935	219	Chromosome
UW163_13360	1014	2	10	10	3731	2373	296	Chromosome
UW163_13365	1032	2	4	7	3594	2645	460	Chromosome
UW163_13370	1173	2	6	8	4177	2871	525	Chromosome
UW163_13375	807	8	10	7	2324	2178	369	Chromosome
UW163_13380	855	4	10	4	1222	795	243	Chromosome
UW163_13385	216	15	128	6	1315	1874	1993	Chromosome
UW163_13390	921	3	47	15	3998	3630	1926	Chromosome
UW163_13395	669	122	20	5	1327	897	611	Chromosome
UW163_13400	921	4	35	18	4714	4413	1251	Chromosome
UW163_13405	975	7	26	23	3177	3840	722	Chromosome
UW163_13410	1113	4	28	15	2856	2122	778	Chromosome
UW163_13415	984	3	31	42	5513	5153	2076	Chromosome
UW163_13420	2034	820	146	37	3232	3467	1865	Chromosome
UW163_13425	345	4	11	3	941	662	256	Chromosome
UW163_13430	1245	4	53	21	2778	2780	1427	Chromosome
UW163_13435	816	4	15	1	2425	1903	667	Chromosome
UW163_13440	1728	12	70	22	4505	3469	2393	Chromosome
UW163_13445	507	145	30	7	1659	1182	904	Chromosome
UW163_13450	456	1	18	1	1032	709	678	Chromosome
UW163_13455	1890	6	33	10	3526	3812	775	Chromosome
UW163_13460	1914	18	138	17	631	706	175	Chromosome
UW163_13465	1305	151	3316	206	11090	13407	19537	Chromosome
UW163_13470	435	6	70	51	3829	4618	3469	Chromosome
UW163_13475	930	2	33	12	4077	3554	1967	Chromosome
UW163_13480	702	1	39	41	4487	4788	3279	Chromosome
UW163_13485	1581	40	453	167	9529	12073	10446	Chromosome
UW163_13490	471	11	153	56	4132	4471	5454	Chromosome
UW163_13495	270	3	41	22	1284	1601	1558	Chromosome
UW163_13500	732	1	16	5	1087	713	1422	Chromosome
UW163_13505	528	2	16	8	3019	3254	4072	Chromosome
UW163_13510	846	0	46	26	4215	3989	5048	Chromosome
UW163_13515	1317	23	378	80	7194	8681	12242	Chromosome
UW163_13520	1128	24	217	213	16318	17769	27871	Chromosome
UW163_13525	1365	8	81	113	11287	11124	15678	Chromosome
UW163_13530	480	12	84	58	3865	4790	6718	Chromosome
